,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,woman,frequent,advance,efficiency,colleague,sofia,great,force,wear,fly,set,busy,drop,clear,meat
1,poorly,great,elderly,guarantee,sfo,fly,program,night,airplane,hesitate,clearance,stair,cake,fruit,crj
2,rout,later,rho,spain,let,airport,length,a330,afternoon,help,comment,seattle,longer,flying,atr
3,seattle,menu,card,cyprus,flying,past,rude,airport,afternoon,chase,sfo,comfortable,starter,delicious,bag
4,engage,case,atr,lisbon,miss,hub,fly,segment,bank,bar,mxp,walk,aisle,luxor,cheerful
5,expense,fault,luckily,evening,circle,question,sfo,fly,boston,force,afternoon,prior,tier,airport,great
6,shoulder,alcohol,fog,heavy,compare,dusseldorf,surprised,initial,inbound,wrap,map,fresh,fly,inform,entitle
7,rho,mix,rubbish,safe,airport,boston,bottle,traveller,child,greet,fly,flying,dusseldorf,age,list
8,upright,acceptable,confirm,month,cyprus,outlet,minor,miss,thessaloniki,sfo,portion,lavatory,hub,delighted,fly
9,lane,picture,aspect,difference,announcement,limit,online,kiosk,local,movie,atr,opinion,airbus,easily,fly
10,drop,lgw,swiss,choice,france,power,country,seattle,complementary,ryanair,past,requirement,fly,assign,meat
11,upset,drop,message,onward,set,cake,chq,force,fly,wheel,sfo,crj,greek,smooth,exceptional
12,counter,spoil,thing,lady,fly,yesterday,round,traveller,afternoon,weigh,atr,flying,airport,life,atlantic
13,past,buss,fco,note,catering,hamburg,fly,situation,chaos,worry,plate,istanbul,nervous,onboard,seattle
14,bag,place,juice,european,female,hold,afternoon,lju,great,fly,airport,overnight,pleased,reduce,explanation
15,sell,joke,multiple,airway,fly,force,deck,aviv,preferred,particular,fish,ill,great,lovely,eat
16,miss,boeing,quickly,happy,heraklion,general,left,bank,departure,deplane,bombardier,cheerful,aspect,fly,tiny
