,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,bad,year,wasn,dubai,alaska,let,product,jetstar,restroom,3er,emirate,june,ist,feel,engine,enjoyable,evening,exceptionally,exit,fast
1,food,drink,option,beverage,vegetarian,wine,chicken,plentiful,variety,enjoyable,fleet,flightpoint,flat,engine,fix,finally,feel,fast,exit,fly
2,welcome,impeccable,away,brussels,flap,enjoyable,evening,exceptionally,exit,fast,feel,finally,fix,zurich,flat,fleet,flightpoint,fly,flying,food
3,delay,hour,reason,announcement,info,spend,takeoff,voucher,apology,aire,buenos,email,houston,runway,flightpoint,exit,engine,enjoyable,evening,exceptionally
4,comfortable,relatively,tidy,accommodate,exceptionally,zurich,fix,enjoyable,evening,exit,fast,feel,finally,flat,flap,employee,fleet,flightpoint,fly,flying
5,staff,attentive,rude,surprised,swiss,organize,particularly,relaxing,assistance,anymore,difference,language,glass,willing,air,flap,exceptionally,exit,fast,aberdeen
6,window,row,exit,slightly,door,feel,misalign,section,armr,wall,lean,closet,american,mid,necessary,propeller,protrude,annoying,neighbour,enjoyable
7,plenty,legroom,wide,tall,stretch,present,item,rest,toilet,ahead,emergency,land,isle,better,opposite,left,guy,newspaper,beer,airline
8,class,business,flat,lie,deck,major,recliner,curtain,tlv,serbia,madrid,priority,mini,thai,suppose,ana,enjoyable,evening,exceptionally,feel
9,space,lot,stuff,metal,medium,store,underneath,aware,engine,enjoyable,evening,exceptionally,exit,fast,finally,feel,fix,flap,flat,fleet
10,service,good,stewardess,red,future,zurich,feel,engine,enjoyable,evening,exceptionally,exit,fast,finally,emirates,fix,flap,flat,fleet,flightpoint
11,great,climb,qantas,zurich,fix,enjoyable,evening,exceptionally,exit,fast,feel,finally,flap,employee,flat,fleet,flightpoint,fly,flying,food
12,narrow,armrest,horrible,lift,fix,tray,probably,configuration,premium,adjust,flightpoint,exit,engine,enjoyable,france,evening,exceptionally,fast,fleet,feel
13,late,minute,gate,klm,second,jeddah,flightpoint,evening,condition,inbound,cgk,lanzarote,sin,midnight,eastern,enjoyable,exceptionally,exit,engine,employee
14,crew,helpful,smile,accommodating,zurich,enjoyable,evening,exceptionally,exit,fast,feel,finally,fix,flap,employee,flat,fleet,flightpoint,fly,flying
15,long,haul,cancel,bring,accord,finally,relax,reset,emirates,cup,hop,daughter,airway,feel,employee,engine,enjoyable,evening,exceptionally,exit
16,hard,cramp,tight,table,hit,pound,padding,plastic,country,feel,enjoyable,evening,exceptionally,exit,fast,fix,finally,flap,flat,fleet
17,check,easy,efficient,baggage,fast,quick,slow,online,awful,lounge,security,counter,personnel,line,addition,flying,lhr,charge,aberdeen,desk
18,miss,connect,connection,previous,jfk,cause,arrangement,qatar,stick,require,zurich,result,run,number,manila,catch,inform,tel,aviv,feel
19,plane,old,clean,france,767,outlet,wear,video,crowd,cool,fleet,vent,disappointed,sardine,enjoyable,evening,feel,exceptionally,exit,fast
20,movie,selection,screen,work,music,watch,inflight,soft,ife,touch,brilliant,jnb,update,individual,recent,usb,ipad,eco,traffic,smell
21,airline,aircraft,fly,budget,happy,ryanair,upgrade,cramped,york,doha,similar,tokyo,september,miami,airbus,honestly,athens,truly,eastern,early
22,time,early,immigration,toronto,console,barcelona,finally,enjoyable,evening,exceptionally,exit,fast,feel,flap,fix,employee,flat,fleet,flightpoint,fly
23,view,wing,engine,noisy,perfect,close,flap,align,proximity,locate,worn,loud,stay,control,nicely,outside,ear,belt,plug,actually
24,price,ticket,cheap,value,money,asia,pay,air,certainly,low,recommend,set,bangkok,direct,norwegian,allow,change,highly,cairo,moscow
